model,method,obs,timeInMinutes
gaussianProcessDim3multi,ConstLast,fxd_noiseless,60
gaussianProcessDim3multi,ConstLast,fxd_noisy,60
gaussianProcessDim3multi,ConstLast,rnd_noiseless,60
gaussianProcessDim3multi,ConstLast,rnd_noisy,60
gaussianProcessDim3multi,ConstMean,fxd_noiseless,60
gaussianProcessDim3multi,ConstMean,fxd_noisy,60
gaussianProcessDim3multi,ConstMean,rnd_noiseless,60
gaussianProcessDim3multi,ConstMean,rnd_noisy,60
gaussianProcessDim3multi,Esn,fxd_noiseless,60
gaussianProcessDim3multi,Esn,fxd_noisy,60
gaussianProcessDim3multi,Esn,rnd_noiseless,60
gaussianProcessDim3multi,Esn,rnd_noisy,60
gaussianProcessDim3multi,PwLin-Nn-20,fxd_noiseless,60
gaussianProcessDim3multi,PwLin-Nn-20,fxd_noisy,60
gaussianProcessDim3multi,PwLin-Nn-20,rnd_noiseless,60
gaussianProcessDim3multi,PwLin-Nn-20,rnd_noisy,60
gaussianProcessDim3multi,RandomFeatures,fxd_noiseless,60
gaussianProcessDim3multi,RandomFeatures,fxd_noisy,60
gaussianProcessDim3multi,RandomFeatures,rnd_noiseless,60
gaussianProcessDim3multi,RandomFeatures,rnd_noisy,60
gaussianProcessDim3multi,Spline-Nn-20,fxd_noiseless,60
gaussianProcessDim3multi,Spline-Nn-20,fxd_noisy,60
gaussianProcessDim3multi,Spline-Nn-20,rnd_noiseless,60
gaussianProcessDim3multi,Spline-Nn-20,rnd_noisy,60
gaussianProcessDim3multi,Spline-Poly2-20,fxd_noiseless,60
gaussianProcessDim3multi,Spline-Poly2-20,fxd_noisy,60
gaussianProcessDim3multi,Spline-Poly2-20,rnd_noiseless,60
gaussianProcessDim3multi,Spline-Poly2-20,rnd_noisy,60
lorenz63random,ConstLast,fxd_noiseless,60
lorenz63random,ConstLast,fxd_noisy,60
lorenz63random,ConstLast,rnd_noiseless,60
lorenz63random,ConstLast,rnd_noisy,60
lorenz63random,ConstMean,fxd_noiseless,60
