methodBaseFile,timeInMinutes,nCpus
ConstLast,2,1
ConstMean,2,1
Analogue,10,1
Esn_deriv,2,1
Esn_deriv_time,2,1
Esn_state,2,1
Esn_state_time,2,1
Gp-Gp-interp,30,1
Gp-Gp-regress,30,1
GpPropa_deriv,30,1
GpPropa_deriv_time,30,1
GpPropa_state,30,1
GpPropa_state_time,30,1
Linear_deriv,2,1
Linear_deriv_time,2,1
Linear_state,2,1
Linear_state_time,2,1
Linear_Poly2,2,1
Linear_Poly4,2,1
Ll-Nn,30,1
LocalLinearPropa_deriv,30,1
LocalLinearPropa_deriv_time,30,1
LocalLinearPropa_state,30,1
LocalLinearPropa_state_time,30,1
NeuralNetPropa_deriv,200,2
NeuralNetPropa_deriv_time,200,2
NeuralNetPropa_state,200,2
NeuralNetPropa_state_time,200,2
NeuralOde200,400,4
NeuralOde500,400,4
PwLin-Nn,10,1
RandomFeatures_deriv,2,1
RandomFeatures_deriv_time,2,1
RandomFeatures_state,2,1
RandomFeatures_state_time,2,1
Spline-Gp,30,1
Spline-Nn,10,1
Spline-Poly,20,1
Spline-Poly2,10,1
Spline-Poly4,10,1
Spline-ThreshLm,30,1
Spline-ThreshLmRotate,30,1
Transformer50,200,4
Transformer200,800,4
Transformer400,800,4
