methodBaseFile,timeInMinutes,nCpus
ConstLast,10,1
ConstMean,10,1
Analogue,20,1
Esn_deriv,10,1
Esn_deriv_time,10,1
Esn_state,10,1
Esn_state_time,10,1
Gp-Gp-interp,60,1
Gp-Gp-regress,60,1
GpPropa_deriv,60,1
GpPropa_deriv_time,60,1
GpPropa_state,60,1
GpPropa_state_time,60,1
Linear_deriv,20,1
Linear_deriv_time,20,1
Linear_state,20,1
Linear_state_time,20,1
Linear_Poly2,10,1
Linear_Poly4,10,1
Ll-Nn,60,1
LocalLinearPropa_deriv,60,1
LocalLinearPropa_deriv_time,60,1
LocalLinearPropa_state,60,1
LocalLinearPropa_state_time,60,1
NeuralNetPropa_deriv,60,2
NeuralNetPropa_deriv_time,60,2
NeuralNetPropa_state,60,2
NeuralNetPropa_state_time,60,2
NeuralOde200,1440,4
NeuralOde500,1440,4
NeuralOde1000,1440,4
PwLin-Nn,20,1
RandomFeatures_deriv,10,1
RandomFeatures_deriv_time,10,1
RandomFeatures_state,10,1
RandomFeatures_state_time,10,1
Spline-Gp,60,1
Spline-Nn,20,1
Spline-Poly,100,1
Spline-Poly2,20,1
Spline-Poly4,20,1
Spline-ThreshLm,600,1
Spline-ThreshLmRotate,600,1
Transformer,600,4
