methodBaseFile,timeInMinutes,nCpus,gpu
ConstLast,1440,1,FALSE
ConstMean,1440,1,FALSE
Analogue,1440,1,FALSE
Esn_big_deriv,1440,4,FALSE
Esn_deriv,1440,2,FALSE
Esn_deriv_time,1440,2,FALSE
Esn_big_state,1440,4,FALSE
Esn_state,1440,2,FALSE
Esn_state_time,1440,2,FALSE
Gp-Gp-interp,1440,2,FALSE
Gp-Gp-regress,1440,2,FALSE
GpPropa_deriv,1440,2,FALSE
GpPropa_deriv_time,1440,2,FALSE
GpPropa_state,1440,2,FALSE
GpPropa_state_time,1440,2,FALSE
Linear_deriv,1440,2,FALSE
Linear_deriv_time,1440,2,FALSE
Linear_state,1440,2,FALSE
Linear_state_time,1440,2,FALSE
Linear_Poly2,1440,2,FALSE
Linear_Poly4,1440,2,FALSE
Linear_Poly6,1440,2,FALSE
Linear_Poly8,1440,2,FALSE
Ll-Nn,1440,2,FALSE
LocalLinearPropa_deriv,1440,2,FALSE
LocalLinearPropa_deriv_time,1440,2,FALSE
LocalLinearPropa_state,1440,2,FALSE
LocalLinearPropa_state_time,1440,2,FALSE
NeuralNetPropa_deriv,1440,2,FALSE
NeuralNetPropa_state,1440,2,FALSE
NeuralNetPropa_deriv_time,1440,2,FALSE
NeuralNetPropa_state_time,1440,2,FALSE
NeuralNetPropa_deriv_bb,1440,2,TRUE
NeuralNetPropa_state_bb,1440,2,TRUE
NeuralOde200,1440,4,FALSE
NeuralOde500,1440,4,FALSE
NeuralOde1000,1440,4,FALSE
NeuralOdeB,1440,4,FALSE
NeuralOdeTestCpu,1440,1,FALSE
NeuralOdeTestGpu,1440,1,TRUE
PwLin-Nn,1440,2,FALSE
Rafda,1440,1,FALSE
RandomFeatures_big_deriv,1440,2,FALSE
RandomFeatures_deriv,1440,2,FALSE
RandomFeatures_deriv_time,1440,2,FALSE
RandomFeatures_big_state,1440,4,FALSE
RandomFeatures_state,1440,2,FALSE
RandomFeatures_state_time,1440,2,FALSE
Spline-Gp,1440,2,FALSE
Spline-Nn,1440,2,FALSE
Spline-Poly,1440,2,FALSE
Spline-Poly2,1440,2,FALSE
Spline-Poly4,1440,2,FALSE
Spline-ThreshLm,1440,2,FALSE
Spline-ThreshLmRotate,1440,2,FALSE
Transformer,1440,4,FALSE
Transformer_bb,1440,4,TRUE
Transformer_time,1440,4,FALSE
Gru,1440,2,FALSE
Lstm,1440,2,FALSE
Rnn,1440,2,FALSE
Gru_bb,1440,2,TRUE
Lstm_bb,1440,2,TRUE
Rnn_bb,1440,2,TRUE
Gru_time,1440,2,FALSE
Lstm_time,1440,2,FALSE
Rnn_time,1440,2,FALSE
