methodBaseFile,timeInMinutes,nCpus
ConstLast,5,1
ConstMean,5,1
Analogue,10,1
Esn_deriv,5,1
Esn_deriv_time,5,1
Esn_state,5,1
Esn_state_time,5,1
Gp-Gp-interp,30,1
Gp-Gp-regress,30,1
GpPropa_deriv,30,1
GpPropa_deriv_time,30,1
GpPropa_state,30,1
GpPropa_state_time,30,1
Linear_deriv,10,1
Linear_deriv_time,10,1
Linear_state,10,1
Linear_state_time,10,1
Linear_Poly2,5,1
Linear_Poly4,5,1
Ll-Nn,30,1
LocalLinearPropa_deriv,30,1
LocalLinearPropa_deriv_time,30,1
LocalLinearPropa_state,30,1
LocalLinearPropa_state_time,30,1
NeuralNetPropa_deriv,30,2
NeuralNetPropa_deriv_time,30,2
NeuralNetPropa_state,30,2
NeuralNetPropa_state_time,30,2
NeuralOde200,120,4
PwLin-Nn,10,1
RandomFeatures_deriv,5,1
RandomFeatures_deriv_time,5,1
RandomFeatures_state,5,1
RandomFeatures_state_time,5,1
Spline-Gp,30,1
Spline-Nn,10,1
Spline-Poly,20,1
Spline-Poly2,10,1
Spline-Poly4,10,1
Spline-ThreshLm,30,1
Spline-ThreshLmRotate,30,1
Transformer,60,4
