method,timeInMinutes
ConstLast,1
ConstMean,1
Analogue,10
Esn_fxd_interp,2
Esn_fxd_noisy,2
Esn_rnd_interp,2
Esn_rnd_noisy,2
LinearNow_fxd_interp,2
LinearPrev_fxd_interp,2
LinearPast_fxd_interp,2
RandomFeatures_fxd_interp,2
RandomFeatures_fxd_noisy,2
RandomFeatures_rnd_interp,2
RandomFeatures_rnd_noisy,2
PwLin-Nn-20,10
Spline-Nn-20,10
Spline-Poly2-20,10
Spline-Lorenz-500,10
Gp-Gp-interp-500,30
PwLin-Nn-500,10
Spline-Gp-500,30
Spline-Nn-500,10
Spline-Poly2-500,10
Spline-ThreshLm-500,10
Transformer,1440
NeuralOdeSmall,100
NeuralOdeWide,200
NeuralOdeDeep,200

